attempt,'.'-'t','t'-'i','i'-'e','e'-'5','5'-key.shift,key.shift-'r','r'-'o','o'-'a','a'-'n','n'-'l','l'-key.enter
1,0.3484771251678467,0.25037693977355957,0.30890607833862305,0.3856782913208008,0.5260491371154785,0.11213397979736328,0.14238977432250977,0.24498891830444336,0.2353520393371582,0.2843351364135742,0.30712008476257324
2,0.2760810852050781,0.2257099151611328,0.24721002578735352,0.3360757827758789,0.47356081008911133,0.12838196754455566,0.12990617752075195,0.22803282737731934,0.20828890800476074,0.25064778327941895,0.28693604469299316
3,0.23359394073486328,0.21812772750854492,0.2331068515777588,0.2966341972351074,0.4607691764831543,0.12858223915100098,0.0895543098449707,0.22527098655700684,0.19978690147399902,0.24729704856872559,0.2878859043121338
4,0.19992589950561523,0.22035503387451172,0.3033778667449951,0.3174426555633545,0.43070292472839355,0.10425806045532227,0.15018391609191895,0.2185070514678955,0.21175408363342285,0.22347521781921387,0.2907230854034424
5,0.25225377082824707,0.19342517852783203,0.23075127601623535,0.3086390495300293,0.46726012229919434,0.11302304267883301,0.1289219856262207,0.22223281860351562,0.21749615669250488,1.3431549072265625,0.23937296867370605
6,0.24742507934570312,0.17454004287719727,0.29598069190979004,0.3142240047454834,0.4267702102661133,0.1291511058807373,0.11912679672241211,0.22979497909545898,0.2162489891052246,0.20855402946472168,0.3189871311187744
7,0.27379822731018066,0.27713584899902344,0.2074429988861084,0.2965660095214844,0.3900279998779297,0.11190223693847656,0.1179208755493164,0.2393350601196289,0.08855223655700684,0.23675107955932617,0.2957470417022705
8,0.27620816230773926,0.1986680030822754,0.26633381843566895,0.28586506843566895,0.3630976676940918,0.10845208168029785,0.1350550651550293,0.2445688247680664,0.20872783660888672,0.28205418586730957,0.2824110984802246
9,0.2899761199951172,0.2013411521911621,0.25594592094421387,0.2973759174346924,0.3977341651916504,0.12381219863891602,0.10465621948242188,0.2463381290435791,0.08848094940185547,0.2424297332763672,0.316392183303833
10,0.2476511001586914,0.21301913261413574,0.2445051670074463,0.32529377937316895,0.4291720390319824,0.1315138339996338,0.11644196510314941,0.2549290657043457,0.10019779205322266,0.23221302032470703,0.31027817726135254
11,0.25109124183654785,0.1991417407989502,0.29871201515197754,0.3108060359954834,0.4007077217102051,0.11600804328918457,0.09256911277770996,0.2630918025970459,0.09218692779541016,0.2561380863189697,0.30338382720947266
12,0.25778818130493164,0.21338295936584473,0.24662995338439941,0.3191261291503906,0.4321479797363281,0.1320171356201172,0.11801600456237793,0.27535200119018555,0.09606385231018066,0.23715615272521973,0.31101012229919434
13,0.2523159980773926,0.20604801177978516,0.2805368900299072,0.3074028491973877,0.4445669651031494,0.1325550079345703,0.10521078109741211,0.27614712715148926,0.22850918769836426,0.2925119400024414,0.31775689125061035
14,0.27333593368530273,0.2182300090789795,0.25519299507141113,0.2899131774902344,0.44666194915771484,0.13557696342468262,0.1074368953704834,0.2318880558013916,0.22461819648742676,0.26815319061279297,0.31034207344055176
15,0.26093292236328125,0.21346306800842285,0.2595200538635254,0.3250911235809326,0.4576241970062256,0.12828302383422852,0.10611104965209961,0.2540760040283203,0.22453999519348145,0.2510683536529541,0.29553794860839844
16,0.22429108619689941,0.20241618156433105,0.2234189510345459,0.3020472526550293,0.40427184104919434,0.12839698791503906,0.08389401435852051,0.23690319061279297,0.07987475395202637,0.1563889980316162,0.2663419246673584
17,0.2326972484588623,0.2579610347747803,0.19127607345581055,0.3298201560974121,0.4619252681732178,0.11989474296569824,0.09637022018432617,0.24112272262573242,0.07964801788330078,0.15619707107543945,0.2608821392059326
