,Key,Mean,Variance,Standard deviation,Skewness,Kurtosis,K-S test,X^2 test
0,.-t,0.35820751190185546,0.002749083313619065,0.052431701418312424,1.5092711381452508,2.889247000779643,"stat=0.61437227241, pvalue=2.01928338551e-11","stat=0.222562100029, pvalue=1.0"
1,t-i,0.20669434865315756,0.0006029315996303254,0.02455466553692649,1.0055214101343475,0.6026082618384563,"stat=0.568924215211, pvalue=1.04417277929e-09","stat=0.0845935871165, pvalue=1.0"
2,i-e,0.20639479955037435,0.0002493521940822437,0.015790889591224547,0.7692876828119823,1.276606987287722,"stat=0.569225602819, pvalue=1.01870969743e-09","stat=0.035035832512, pvalue=1.0"
3,e-5,0.3128932555516561,0.0004150053138224085,0.02037167920968737,0.8566165524276854,0.3942942006161796,"stat=0.611899377274, pvalue=2.53310405107e-11","stat=0.0384640892295, pvalue=1.0"
4,5-shift,0.6792543252309163,0.0452145889492155,0.21263722380903938,5.007289851211095,23.763727666333995,"stat=0.713055863193, pvalue=6.28253048766e-16","stat=1.93038605839, pvalue=0.999999999999"
5,shift-r,0.41603495279947916,0.012098979622307797,0.10999536182179591,4.970784291505663,23.520088584853706,"stat=0.640069290049, pvalue=1.75340615433e-12","stat=0.843367622566, pvalue=1.0"
6,r-o,0.2597435792287191,0.0010591392725180554,0.03254441999049999,1.7594097959142434,5.488598453263128,"stat=0.58450966582, pvalue=2.84048516521e-10","stat=0.11825138852, pvalue=1.0"
7,o-a,0.1969860871632894,0.00020953230619387344,0.014475230782059173,0.17595578032068804,-0.9595106678598726,"stat=0.569358061968, pvalue=1.0077100224e-09","stat=0.0308470357837, pvalue=1.0"
8,a-n,0.19208264350891113,0.00024889959354760344,0.015776552017079126,0.20157459497092955,-0.9838143897783818,"stat=0.565903000005, pvalue=1.33597952515e-09","stat=0.037578034543, pvalue=1.0"
9,n-l,0.26443416277567544,0.00010523692639352872,0.010258505075961542,-0.165054032747044,-0.7202187598751455,"stat=0.596400453713, pvalue=1.01551303197e-10","stat=0.0115411368689, pvalue=1.0"
10,l-enter,0.31478649775187173,0.0010028863735141887,0.03166838128976896,3.3672760268588084,12.479706838471385,"stat=0.612380242126, pvalue=2.42413594424e-11","stat=0.0923918434864, pvalue=1.0"
