,Key,Mean,Variance,Standard deviation,Skewness,Kurtosis,K-S test,X^2 test
0,H.,0.09191121260325114,0.00018697669482648226,0.013673942183089786,-0.15518588254546042,-0.32968463103341783,"stat=0.525651527551, pvalue=2.9913758093e-08","stat=0.0589952411288, pvalue=1.0"
1,Ht,0.07285776933034262,6.489317164073848e-05,0.008055629810308967,-0.18500925677766358,0.6398966299405986,"stat=0.521343562329, pvalue=4.09553131089e-08","stat=0.0258298050418, pvalue=1.0"
2,Hi,0.05555546283721924,4.0670663208112304e-05,0.006377355502723076,0.384862628371216,-0.09963819578893096,"stat=0.517112545598, pvalue=5.55713515581e-08","stat=0.0212301216262, pvalue=1.0"
3,He,0.08658628463745117,4.245840330926951e-05,0.006516011303648077,0.04677711850177568,-0.3286781849809639,"stat=0.529077855704, pvalue=2.32419821108e-08","stat=0.0142204241829, pvalue=1.0"
4,H5,0.08024431069691976,0.0001319199107020571,0.01148563932491601,0.013088249950178186,-0.3152365312481691,"stat=0.522183699362, pvalue=3.85318818038e-08","stat=0.0476753725857, pvalue=1.0"
5,Hshift,0.398248553276062,0.012843891424553092,0.113330893513433,4.905686338579226,23.091813745352887,"stat=0.631667209111, pvalue=3.96950694311e-12","stat=0.935277349404, pvalue=1.0"
6,Hr,0.09803071022033691,0.00017994593476471668,0.01341439282132131,0.5243680720051012,-0.7139934816444882,"stat=0.53042369088, pvalue=2.10358574032e-08","stat=0.0532326257399, pvalue=1.0"
7,Ho,0.058837358156840006,4.19892025754716e-05,0.0064799076054733685,0.34445269618025987,-0.5336884080648727,"stat=0.518327298832, pvalue=5.09266473962e-08","stat=0.020695811519, pvalue=1.0"
8,Ha,0.06193628311157227,6.718522493680084e-05,0.008196659376648565,0.08011528397893997,-0.6556293759750975,"stat=0.51953238181, pvalue=4.66899884001e-08","stat=0.0314576759419, pvalue=1.0"
9,Hn,0.05507725874582926,4.559681410715638e-05,0.0067525413073269225,-0.08040523073625218,-0.408583066419828,"stat=0.516215346193, pvalue=5.9261373815e-08","stat=0.0240082320583, pvalue=1.0"
10,Hl,0.06020929018656413,7.752153288498217e-05,0.008804631331576704,-0.9969969074726883,3.0489366502538866,"stat=0.512171436639, pvalue=7.90350921896e-08","stat=0.0373384978746, pvalue=1.0"
11,Henter,0.07498571077982584,5.862109892770876e-05,0.007656441662267711,1.5618019067227218,3.89211237316617,"stat=0.524787519137, pvalue=3.18681138924e-08","stat=0.0226711442917, pvalue=1.0"
